id;mandante_id;visitante_id;gols_visitante;gols_mandante;local;campeonato
1;82750;29873;14237;65535;Tasty Frozen brand;22819
2;7923;67823;86572;3467;background SCSI;36568
3;1065;8415;75241;11882;Architect incubate front-end;11433
4;3466;55147;49020;33329;Car;17510
5;33439;58475;71932;49074;methodologies Home Loan Account;23173
6;71534;85773;6163;30367;Intuitive;85592
7;94319;74836;89273;79320;Forint wireless project;77382
8;74736;10268;82580;65053;Operative extranet withdrawal;41951
9;60257;52140;39797;20299;functionalities payment Handmade Concrete Chips;24036
10;98891;85002;63590;44132;standardization;87539
